NAME_1,NAME_2,GID_1,GID_2,Gini_Coefficient
Hunan,Xiangtan,430000,430300,0.8679398391741435
Hunan,Xiangxitujiazumiaozu,430000,433100,0.9446318117400603
Hunan,Yiyang,430000,430900,0.9399953324789619
Hunan,Yongzhou,430000,431100,0.9361756933096738
Hunan,Yueyang,430000,430600,0.9357837622820167
Hunan,Zhangjiajie,430000,430800,0.8825710586027974
Hunan,Zhuzhou,430000,430200,0.8839839438484736
Shanghai,NULL,330000,0,0.49555140378832474
Zhejiang,Hangzhou,330000,330100,0.5756143221768701
Zhejiang,Huzhou,330000,330500,0.8427241592938349
Zhejiang,Jiaxing,330000,330400,0.765169400148096
Zhejiang,Jinhua,330000,330700,0.7858881517048992
Zhejiang,Lishui,330000,331100,0.8817991994998602
Zhejiang,Ningbo,330000,330200,0.6862740658285252
Zhejiang,Quzhou,330000,330800,0.8635397823161032
Zhejiang,Shaoxing,330000,330600,0.8386491406298618
Zhejiang,Taizhou,330000,331000,0.8392627986505206
Zhejiang,Wenzhou,330000,330300,0.6960826272653992
Zhejiang,Zhoushan,330000,330900,0.8805242422509348
Guizhou,Anshun,520000,520400,0.9280578548228079
Guizhou,Bijie,520000,520500,0.9601301507325569
Guizhou,Guiyang,520000,520100,0.7486473421537598
Guizhou,Liupanshui,520000,520200,0.9604539395592664
Guizhou,Qiandongnanmiaozudongzu,520000,522600,0.9469536008219169
Guizhou,Qiannanbuyizumiaozu,520000,522700,0.9408647033375479
Guizhou,Qianxinanbuyizumiaozu,520000,522300,0.9428677142466374
Guizhou,Tongren,520000,520600,0.9504338757213674
Guizhou,Zunyi,520000,520300,0.8798789588396543
Hubei,Enshitujiazumiaozu,420000,422800,0.9624597252549304
Hubei,Ezhou,420000,420700,0.8728347631347821
Hubei,Huanggang,420000,421100,0.9431750162006464
Hubei,Huangshi,420000,420200,0.8895827748078022
Hubei,Jingmen,420000,420800,0.9265471624662672
Hubei,Jingzhou,420000,421000,0.9542068621874251
Hubei,NULL,420000,0,0.9649089493002267
Hubei,Shiyan,420000,420300,0.8816969004335877
Hubei,Suizhou,420000,421300,0.9255814336568111
Hubei,Wuhan,420000,420100,0.4050648125703178
Hubei,Xiangyang,420000,420600,0.9077052185425605
