name,2SFCA_Accessibility_2015,M2SFCA_Accessibility_2015,Relative_Accessibility_2015,2SFCA_Gini_2015,M2SFCA_Gini_2015,2SFCA_Accessibility_2016,M2SFCA_Accessibility_2016,Relative_Accessibility_2016,2SFCA_Gini_2016,M2SFCA_Gini_2016,2SFCA_Accessibility_2017,M2SFCA_Accessibility_2017,Relative_Accessibility_2017,2SFCA_Gini_2017,M2SFCA_Gini_2017,2SFCA_Accessibility_2018,M2SFCA_Accessibility_2018,Relative_Accessibility_2018,2SFCA_Gini_2018,M2SFCA_Gini_2018,2SFCA_Accessibility_2019,M2SFCA_Accessibility_2019,Relative_Accessibility_2019,2SFCA_Gini_2019,M2SFCA_Gini_2019,2SFCA_Accessibility_2020,M2SFCA_Accessibility_2020,Relative_Accessibility_2020,2SFCA_Gini_2020,M2SFCA_Gini_2020,2SFCA_Accessibility_2021,M2SFCA_Accessibility_2021,Relative_Accessibility_2021,2SFCA_Gini_2021,M2SFCA_Gini_2021,2SFCA_Accessibility_2022,M2SFCA_Accessibility_2022,Relative_Accessibility_2022,2SFCA_Gini_2022,M2SFCA_Gini_2022,2SFCA_Accessibility_2023,M2SFCA_Accessibility_2023,Relative_Accessibility_2023,2SFCA_Gini_2023,M2SFCA_Gini_2023,2SFCA_Accessibility_2024,M2SFCA_Accessibility_2024,Relative_Accessibility_2024,2SFCA_Gini_2024,M2SFCA_Gini_2024,2SFCA_Accessibility_2025,M2SFCA_Accessibility_2025,Relative_Accessibility_2025,2SFCA_Gini_2025,M2SFCA_Gini_2025,clusting_efficiency,clusting_equity,clusting
梅州市,0.0436295703188165,0.0234594418229141,0.5376959170463466,0.995364284439082,0.9962519120027988,0.0432907453746197,0.0233197704803462,0.5386779617340108,0.9952496378539084,0.9961453230150252,0.0429650818840689,0.0232302938230478,0.5406784487395893,0.9952211096960394,0.9960998960825348,0.0639848736929724,0.0355678107792528,0.5558784244839307,0.997163656873056,0.99790129295677,2.5213707216430024,1.6422848437945368,0.6513460435220624,0.9263595109276525,0.9430650320513738,3.1164672107182545,2.012817781115738,0.6458652201419576,0.904944045186782,0.926898212258428,3.93769841855021,2.5423789100028404,0.6456509970458577,0.8913368792817256,0.9130324928750896,6.738307467645889,4.376048352258608,0.6494284170424527,0.8407828982311534,0.8731946344245911,6.738307472357044,4.362725699070491,0.6474512653166923,0.8393197561205268,0.8724545902929137,12.655383791587566,8.311871680111174,0.6567854295842327,0.7810309754866418,0.8190156608227115,18.84620386715507,12.428972724825298,0.6594947615146177,0.7243057095517631,0.7678463437685393,Increased efficiency,Slowly increased equlity,Increased efficiency & Slowly increased equlity
鄂州市,0.0915196125870332,0.0636704603173701,0.6957029047388159,0.9991282848312562,0.9995117183654092,0.0914290734400242,0.0647774843204561,0.7084998445592796,0.9991805891801409,0.9995250543784888,0.0915232942969824,0.0650306168015954,0.7105362334377808,0.9991552946271214,0.999506401906178,1.099331939756515,0.7509559880177546,0.6831021285382464,0.9911953003419026,0.9945133462543692,0.2754805720736356,0.1510313857131216,0.5482469583109154,0.997230358730279,0.9982727060308144,2.6698458736129287,1.73073360718761,0.6482522546687389,0.9432986793509716,0.956075705762056,3.130164157188048,1.9793967257597025,0.6323619549518686,0.925135055426042,0.9458702584511296,5.155564518472583,3.241714871558758,0.6287798086792573,0.8805573023603175,0.9069102956363504,5.063500869284079,3.201215808795018,0.6322139348714347,0.8909836763313385,0.9185503865469888,12.98097492070039,8.535139752835342,0.6575114584979744,0.6914448510597226,0.7484294118776744,19.05717601804708,12.496465441636849,0.655735426371816,0.6715407243270086,0.7190395551887331,Stable efficiency,Slowly increased equlity,Stable efficiency & Slowly increased equlity
吕梁市,0.0247412926972852,0.0195217664183439,0.7890358299866027,0.9983397316166968,0.9986291651409032,0.0245784069361613,0.0195051124714904,0.7935873355076261,0.9983299522507392,0.9986122748583096,0.0488491405987376,0.0382995949554236,0.7840382550438025,0.9982882213964844,0.9985631845405956,0.194288025325148,0.1424288043729274,0.7330807142363389,0.9830098598568978,0.9859497105895138,0.0724276451265456,0.0554346162445676,0.765379243625997,0.9938812615991468,0.9946710870221428,1.7299080369513002,1.0809055502432063,0.6248341109207967,0.927540483945039,0.945980676941052,2.354597038961584,1.4991010615717442,0.6366699001001346,0.9180511043295796,0.9404847969593946,2.7149945403421816,1.7500623058649152,0.6445914641302917,0.8998023148354904,0.9211195498165544,2.7390210393738337,1.768377433063512,0.6456238954147574,0.9015506113901977,0.9231005676018776,5.021538527025656,3.221961952719906,0.6416284442267,0.8583733608993496,0.8826815969740853,9.922944659211822,6.410006106333271,0.6459782178047959,0.8111396860727645,0.8482435977585789,Decreased efficiency,Slowly increased equlity,Decreased efficiency & Slowly increased equlity
舟山市,0.1832721897004069,0.1144680377973357,0.6245794191931432,0.9910364042175072,0.9928502133779404,0.1814620297852876,0.1110235909812737,0.6118282216540882,0.9903649271526704,0.9923768803956932,0.0900179986577523,0.0772786300413233,0.8584797617544913,0.9928357846245252,0.9940699699328256,1.430176542111848,0.9668878689814144,0.676061899011205,0.9552642944212903,0.966849224171742,0.8905473094288224,0.6041875876685758,0.6784452451561372,0.9587260165171492,0.9711420797786504,10.690585430095965,6.826875786544725,0.6385876462224243,0.8912418177405466,0.915226015662852,12.899383962863547,8.26613400617904,0.6408161839337971,0.8786084724672327,0.9011229096048292,14.401366834128144,9.30195246992032,0.6459076125938749,0.8787694736428713,0.9025429918946192,14.578070990389456,9.484200820175916,0.6505799585163458,0.877935839931654,0.9044088470201836,15.726646257889042,10.25912631374734,0.6523403747700498,0.7413815291580144,0.7912462537802847,22.706449777113008,14.364729747097975,0.6326277286014532,0.6418148243415012,0.7126736783527774,Decreased efficiency,Slowly increased equlity,Decreased efficiency & Slowly increased equlity
朝阳市,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0670714201603614,0.0392565543365032,0.5852948132400433,0.9967093707158592,0.9973816503182116,0.0338390115121646,0.0221594518905069,0.6548492671702577,0.9995378225102988,0.999544593682206,0.3416123001203237,0.2293141823723642,0.671270274201469,0.9607083406914088,0.9790638185344792,0.3416123060697832,0.2455082439052301,0.7186750580790806,0.967838907157316,0.9798965598358544,0.4099347642493474,0.2851840260902239,0.6956814863273161,0.970776283109517,0.9818901036906216,0.4099347666315049,0.2816960551981499,0.6871728824390485,0.9698255971510216,0.9810553687447524,1.673900298078398,1.212729836935724,0.7244934709241119,0.9432707002357688,0.9583594560294002,4.919217233722214,3.345447020217516,0.6800771060248795,0.8487980836522968,0.8822364087499701,Increased efficiency,Slowly increased equlity,Increased efficiency & Slowly increased equlity
广安市,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.2917311349188121,0.1872678727865571,0.6419193921097013,0.9958289190375432,0.9977368144962806,0.1876595073555359,0.1169745630931602,0.6233340625345593,0.9941775556226696,0.9969097829229764,1.3914022102950745,0.9021358087538052,0.6483645074579042,0.9733908063897744,0.981681169810134,1.7006026948112063,1.1014595778487637,0.6476877763451051,0.962771428177828,0.972646442108525,1.7779028140335231,1.1470878589736098,0.6451915424843807,0.9623144737475404,0.9722673694179228,1.7006026878920224,1.0980447562601665,0.6456797722819344,0.9642012216915756,0.9735129099450596,4.058256465510142,2.644249222494905,0.6515727246337327,0.9287918173606616,0.9471674364921064,8.50301355935566,5.545569911643254,0.6521887649516445,0.8688756861092115,0.8970852349667191,Stable efficiency,Slowly increased equlity,Stable efficiency & Slowly increased equlity
濮阳市,0.0513957316235428,0.0326426955577042,0.6351246402483662,0.995203214663176,0.9968271684814722,0.051332254470824,0.0327466516504478,0.6379351927560516,0.9950611321922622,0.996701672848835,0.0512966759830634,0.0336635574952413,0.6562522200533224,0.9950804615066856,0.996003240512007,0.1025841704434077,0.0742841914122033,0.7241291818330142,0.988562251557279,0.9914496362440788,0.1281108499397261,0.0881468622792576,0.6880514985321629,0.9923794700403504,0.9957432998902572,2.9749997539770185,1.8875805578890137,0.6344809122641679,0.9251048919893502,0.9452312405531764,4.847197861142093,3.0915724750694147,0.637806122967091,0.8987399016011902,0.9189887245254952,5.488361606929029,3.4468180064467773,0.6280231248056226,0.8925014257783225,0.9122603444573884,5.411421948624328,3.4120389540370897,0.6305253935898467,0.8915246544504583,0.9119988924646858,10.027800826562292,6.382688642129058,0.6364993434275417,0.8567437607465417,0.8787351248539603,18.08081739723447,11.47332830183135,0.6345580539730599,0.812516466001843,0.837171049506105,Stable efficiency,Slowly increased equlity,Stable efficiency & Slowly increased equlity
宣城市,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.4006562817468286,0.2593487817314781,0.6473099101322924,0.9958890510843482,0.9970154694266548,0.2424100487388927,0.1637121861448343,0.6753523090174108,0.9925965350396904,0.9952315599729066,3.099746990831044,1.9348689986271763,0.624202234682527,0.9426148222647064,0.9592111268028612,4.2009729089935774,2.671345782305928,0.6358874099347381,0.8974106244443121,0.9139861583112188,5.91399100010743,3.829303417432481,0.6474990268606969,0.8910690691648576,0.9122658121609548,6.077135558584645,3.9424926281072654,0.6487419262086471,0.8888307577894595,0.9102500427220772,19.98521094209524,13.094145230508609,0.6551917449581758,0.768958145910019,0.8061590650021843,111.42774754240278,71.0167450883997,0.6373344759695061,0.7592881946414334,0.7813351724217591,Stable efficiency,Slowly increased equlity,Stable efficiency & Slowly increased equlity
六盘水市,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0327809516650396,0.0227866843624047,0.6951196717911751,0.998655016609253,0.9993674586428912,0.9846974801330448,0.6579846238531026,0.6682099194203287,0.9707937537162336,0.9804986599721528,1.5098694737687852,1.0209350391316654,0.6761743692872401,0.9600982700785936,0.9723340359129244,1.805278718379608,1.2119503653548256,0.6713369813846001,0.959258841767586,0.9700815037982978,1.6411624563722889,1.0880743548641405,0.6629900352883266,0.960647288602532,0.9713389932023324,6.137947599456384,4.015790381929079,0.6542562178739915,0.8812357193560989,0.9056853522621856,10.601909483192433,6.889185667120905,0.6498061201185092,0.8628868131314424,0.8843610221028813,Stable efficiency,Slowly increased equlity,Stable efficiency & Slowly increased equlity
深圳市,0.89460578590599,0.575496619944525,0.6432963312010159,0.875256067880351,0.9070830162719706,0.8401897248882988,0.5414984270398648,0.6444954169272372,0.8722493537693891,0.9050363865054736,1.164791628143041,0.7539940983635479,0.6473210144595531,0.8273044786932513,0.8631683662839675,4.960137443251552,3.190058027078423,0.6431390387011581,0.6083712010568914,0.6614530869754435,4.25867009560058,2.7356371942679867,0.6423688928367655,0.6153739129874298,0.6713327012766602,23.37516034858628,15.162068594862964,0.6486401962063956,0.2948351167984829,0.3434371409549202,24.97783845105581,16.173081801019077,0.6474972537239484,0.284853614118346,0.3338053874987122,26.121658521979445,16.90110303967447,0.647014929218734,0.2806071257893054,0.3285093548468225,25.662800515471226,16.613578780668917,0.6473798045015842,0.2848153673883222,0.3335540908284951,29.080960506028703,18.72357045228833,0.6438429173756759,0.2800199340529334,0.3217356353531884,36.45593996454704,23.562006685357183,0.6463146117826326,0.2385976100827752,0.2842524396501453,Stable efficiency,Quickly increased equlity,Stable efficiency & Quickly increased equlity
