name,gb,2SFCA_Accessibility_2015,M2SFCA_Accessibility_2015,Relative_Accessibility_2015,M2SFCA_Gini_2015,2SFCA_Accessibility_2016,M2SFCA_Accessibility_2016,Relative_Accessibility_2016,M2SFCA_Gini_2016,2SFCA_Accessibility_2017,M2SFCA_Accessibility_2017,Relative_Accessibility_2017,M2SFCA_Gini_2017,2SFCA_Accessibility_2018,M2SFCA_Accessibility_2018,Relative_Accessibility_2018,M2SFCA_Gini_2018,2SFCA_Accessibility_2019,M2SFCA_Accessibility_2019,Relative_Accessibility_2019,M2SFCA_Gini_2019,2SFCA_Accessibility_2020,M2SFCA_Accessibility_2020,Relative_Accessibility_2020,M2SFCA_Gini_2020,2SFCA_Accessibility_2021,M2SFCA_Accessibility_2021,Relative_Accessibility_2021,M2SFCA_Gini_2021,2SFCA_Accessibility_2022,M2SFCA_Accessibility_2022,Relative_Accessibility_2022,M2SFCA_Gini_2022,2SFCA_Accessibility_2023,M2SFCA_Accessibility_2023,Relative_Accessibility_2023,M2SFCA_Gini_2023,2SFCA_Accessibility_2024,M2SFCA_Accessibility_2024,Relative_Accessibility_2024,M2SFCA_Gini_2024,2SFCA_Accessibility_2025,M2SFCA_Accessibility_2025,Relative_Accessibility_2025,M2SFCA_Gini_2025
梅州市,156441400.0,0.3452752501209457,0.2136971912494127,0.618918359119448,0.9902304602242864,0.3303028185536782,0.2044103053594462,0.6188572845200443,0.9902419522276332,0.3181202863791661,0.1967820613455545,0.6185775311135325,0.9902410398417956,0.4583770621144448,0.2498807777287893,0.545142413052075,0.992448238516166,17.675271202029823,11.45114110832421,0.6478622578084778,0.9028874895973248,21.67218484442801,13.943669861506814,0.6433901317103142,0.8702174475859663,27.02948812842003,17.29372837600168,0.6398096883609967,0.8419512253530318,45.81396388383693,29.842561123598298,0.6513857041330294,0.7663582669936464,43.98667748123068,28.561671908675265,0.6493255127274086,0.7686461347444061,77.9809549350959,51.70630583308441,0.6630632553309963,0.6690338655769945,110.82040545444688,73.68831824669113,0.6649345663780392,0.5837437996837378
鄂州市,156420700.0,0.6251640916042075,0.492952270117389,0.7885166098590928,0.999075833943711,0.5983688565901437,0.4716426087119422,0.7882138308461407,0.9990758741466658,0.5756489298431197,0.4538788540029597,0.7884646882374198,0.9990798951945212,6.611679500054736,4.4187772095297735,0.6683290092166736,0.991192315198071,1.6007683779367294,0.93755593479014,0.5856911891266738,0.997069438832419,15.182848587184356,10.155203065514083,0.6688601949232345,0.9575532310857716,17.497002487317058,11.745107880531991,0.6712640001649193,0.9417467292893434,28.439822338267213,18.98454145956652,0.6675337572000885,0.9116254915075096,26.74993186465118,17.910847068254146,0.669566081845708,0.9194561263948408,64.78231330500914,43.46290614866773,0.6709069795645451,0.7369157200931453,90.91707594075956,60.84705842921986,0.6692588581364742,0.687526617251689
吕梁市,156141100.0,0.2262289997542851,0.2044181345916144,0.9035894373119264,0.9971103402470674,0.2162386512699819,0.1953987416921559,0.9036254182338262,0.99709612139858,0.4158514119252622,0.3733359035868423,0.8977627414042282,0.9970522446549228,1.5936349815791333,1.1243956212962225,0.7055540536529002,0.9825671126763316,0.5794862187527781,0.423170857824801,0.7302518060491362,0.9928028896080842,13.68738008841587,8.670091084938322,0.633436861468919,0.9356455741320536,18.36963817329826,11.752559943071722,0.6397817873274722,0.9060121471798522,20.969262438034903,13.412116049671612,0.6396083834281252,0.891259107303805,20.267711580901064,12.910926855510985,0.6370194683289937,0.892846351266342,34.63867001110417,22.07209334357089,0.6372096081199194,0.8359182873225385,65.34780996182737,42.64359296833634,0.652563459942214,0.7799953311599193
舟山市,156330900.0,0.966711258410063,0.6072481657151817,0.6281587810551773,0.9842663698946842,0.9280785363460564,0.5836901045487316,0.6289231801941907,0.9842765483542172,0.4483058693794597,0.368290244173298,0.82151555294844,0.9881014346882264,6.909626634871315,4.264104026291152,0.6171250997515826,0.9513967702917324,4.2155673300944665,2.658260507626229,0.6305819121068718,0.953747438305564,51.82863155513946,33.40595939144696,0.6445464290506497,0.8490458319878506,62.34465770893979,40.42757535955467,0.6484529203495433,0.8326775285841463,69.23312857929771,44.72919762033258,0.6460663924655808,0.826061940638845,68.018500728047,44.25943785538679,0.6506970512676515,0.8248627726877131,69.37941405555446,44.806032795212886,0.6458116345481841,0.6987689393148326,95.9441773923022,62.23444801271325,0.6486526822596579,0.6358065993947046
朝阳市,156211300.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.3183273906355548,0.1798151602402337,0.564874922893769,0.9943318000341084,0.1554661164028268,0.109558233283151,0.704708111440024,0.9989114449546598,1.543891258939545,1.0078896089456726,0.6528242213366525,0.9868977469034472,1.5380025131841184,1.044219019087043,0.678944936783752,0.9868901936840656,1.8450666877322432,1.2373305845694316,0.6706156437576924,0.9851392146528198,1.7822029185833,1.1833239265474964,0.6639670007319585,0.9850215985419412,6.879259238944789,5.019632414805562,0.7296762980508821,0.9588442611270488,19.339320345279397,13.19529509217362,0.6823039722486682,0.8651628273545517
广安市,156511600.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,1.1374461590587808,0.7133190532184833,0.6271233565980335,0.991969135657785,0.6891181563696597,0.451760903924053,0.6555637806787339,0.9896902822766722,4.855514713971671,3.2329283343827244,0.6658260812350175,0.962841737743501,5.813070245115358,3.85010193069218,0.6623181500219041,0.9393208861038408,5.978964470540441,3.925025511939428,0.6564724596171824,0.9391891722654776,5.493654834118389,3.5876720855994995,0.6530574260541875,0.9415069530610918,12.477747978342313,8.142469997572304,0.6525592608301777,0.8682482920233652,25.158786258167464,16.388924440731888,0.6514195189130574,0.7716855575171444
濮阳市,156410900.0,0.3813598814301628,0.2078347254642675,0.5449831919520555,0.9950558910271792,0.364668056772473,0.1986981951662384,0.5448741436934028,0.995048601395324,0.3511100291928183,0.2115697710536102,0.6025739895268639,0.994494442762525,0.6730210798053521,0.4440055267158326,0.6597200890709779,0.9893020882985178,0.8148564701640849,0.5125814645826108,0.6290450936462393,0.9947453443506982,18.537962270060227,11.961086767857823,0.6452212273177188,0.9153129164053307,29.64719815628121,19.111625084739973,0.6446351180976906,0.8713975980313333,33.05300087360843,21.07103581965169,0.6374923687027798,0.8659249657433494,31.198941534377383,19.853527847889552,0.6363526091426344,0.8623851105207914,54.619389394027365,35.09364061717997,0.6425125034630552,0.7982860748080399,94.07161938227732,60.258275674945246,0.6405574398594613,0.7234746514583011
宣城市,156341800.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,2.074581187195339,1.3830657280105163,0.6666722597057317,0.996008852053921,1.206095591610569,0.8458942096748866,0.7013492260139309,0.9930213604087804,14.960718279468836,9.577659890222234,0.6401871695803552,0.9422306692013208,19.506240814948008,12.477846235792365,0.6396848246757187,0.8914316313515458,27.213628558535564,17.643449756147923,0.6483313946244794,0.8718268857552516,26.69621520149272,17.315988389625574,0.6486308362039781,0.8687157670131305,84.24145264987573,55.986041783249554,0.6645901752898149,0.6640480482701511,452.6320563429151,297.109340951177,0.6564036655991644,0.6280700579049254
六盘水市,156520200.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.2704376525692432,0.2186754478593005,0.8085983803727573,0.9997100173185752,7.930989916652433,5.455560369574616,0.6878788684524437,0.9453950319570562,11.894880304543385,8.109195944970084,0.681738339298184,0.9126677275762364,13.954609391397176,9.554864464897552,0.6847102772212309,0.9055318093060398,12.082022405002924,8.200026955306258,0.6786965526492312,0.9079815824638032,42.39142039915092,28.88833332612651,0.6814665103013423,0.7303551513928462,69.45071604117513,46.6083312421594,0.6710993622373426,0.6574736936874868
深圳市,156440300.0,15.726220221199508,10.40116164243751,0.6613897997190941,0.8914504753078515,14.506295870904063,9.592545901809633,0.6612677686417411,0.891038636158022,19.840576601601544,13.149694905610124,0.6627677798713104,0.8424190567737974,82.89150184908748,54.21128917350838,0.6540029793669998,0.6214380666979405,71.09733340762477,46.50329366882591,0.654079294397822,0.6385723762682161,398.0871143631934,261.19096336775823,0.6561150912547788,0.3118515268083262,419.980451016463,274.9455843827098,0.6546628151793,0.302893538408886,435.8929675287632,285.008873371341,0.6538505885680161,0.3011484736385841,408.6346545024164,267.4552081411646,0.6545093647694606,0.302046163861888,429.8510598765449,280.35026105640446,0.652203256488241,0.277607632370152,507.0004483832412,331.3207693615564,0.6534920638001317,0.2373511269020113
