name,Shape_Length,Shape_Area,gb,Urban,Urban_Ratio
阿坝藏族羌族自治州,22.546509064287246,7.955641442994724,156513200,Rural,100.0
阿坝藏族羌族自治州,0.08677725399991232,0.00015426045121480803,156513200,Urban,0.0
阿克苏地区,31.180361618079424,13.633535443165188,156652900,Rural,99.74
阿克苏地区,7.443979449998892,0.03511734832880148,156652900,Urban,0.26
阿拉尔市,4.898254222256888,0.4146293975933753,156659002,Rural,99.33
阿拉尔市,0.5583927799998492,0.002800509904129869,156659002,Urban,0.67
阿拉善盟,35.37363898859448,25.43367564479169,156152900,Rural,99.95
阿拉善盟,1.4383324818576995,0.011691748691151164,156152900,Urban,0.05
阿勒泰地区,24.15035075502022,13.790910872490725,156654300,Rural,99.92
阿勒泰地区,2.5741012618597763,0.011192003955671546,156654300,Urban,0.08
阿里地区,42.86364627869585,32.543021171884504,156542500,Rural,100.0
安康市,12.138329711109149,2.2477347892576436,156610900,Rural,99.64
安康市,1.7646505420008225,0.008106880640357104,156610900,Urban,0.36
安庆市,12.665361488738041,1.2422482915830453,156340800,Rural,97.62
安庆市,6.428270603032715,0.03026777012490637,156340800,Urban,2.38
安顺市,9.393140783116818,0.826071903069971,156520400,Rural,99.36
安顺市,2.0989621221282264,0.005292140178000048,156520400,Urban,0.64
安阳市,21.470386888326516,0.6625277186869688,156410500,Rural,90.43
安阳市,14.077964141639846,0.07012790682557069,156410500,Urban,9.57
鞍山市,17.470870048362464,0.9241542694150592,156210300,Rural,93.74
鞍山市,9.5767820671235,0.061713391138326294,156210300,Urban,6.26
澳门特别行政区,0.4934166191646722,0.0013107557231821232,156820000,Rural,59.52
澳门特别行政区,0.3320719226764784,0.0008913812105924926,156820000,Urban,40.48
巴彦淖尔市,18.240600432850563,7.003189977497979,156150800,Rural,99.79
巴彦淖尔市,3.260345525999469,0.014920413702521038,156150800,Urban,0.21
巴音郭楞蒙古自治州,56.26380437502659,49.15407169463242,156652800,Rural,99.95
巴音郭楞蒙古自治州,4.889709771999833,0.022605620074074514,156652800,Urban,0.05
巴中市,9.334819964229508,1.1630613041423947,156511900,Rural,99.34
巴中市,2.5122285340003145,0.007725659766094378,156511900,Urban,0.66
白城市,17.297426712291433,2.9263806182584804,156220800,Rural,99.15
白城市,6.92432105149058,0.02509353847302727,156220800,Urban,0.85
白沙黎族自治县,2.597437106186214,0.1813640221545411,156469025,Rural,99.81
白沙黎族自治县,0.10456390000001647,0.00034606923195574103,156469025,Urban,0.19
白山市,12.436221889732368,1.8879338904964542,156220600,Rural,99.47
白山市,3.0081459860794526,0.009980505561620698,156220600,Urban,0.53
白杨市,0.5700392046507352,0.011582203753244247,156659012,Rural,96.9
白杨市,0.13196556526989173,0.000370308979843917,156659012,Urban,3.1
白银市,12.100195087384435,2.0114177661637878,156620400,Rural,99.47
白银市,2.314419493999935,0.010662345922758389,156620400,Urban,0.53
百色市,19.727813503416947,3.196747003389793,156451000,Rural,99.56
百色市,4.2127184299158795,0.014221275429548456,156451000,Urban,0.44
蚌埠市,22.842264457060494,0.5021168005465557,156340300,Rural,87.34
