NAME_1,NAME_2,GID_1,GID_2,Gini_Coefficient
Hunan,Shaoyang,430000,430500,0.925072860829626
Hunan,Xiangtan,430000,430300,0.8999746226809716
Hunan,Xiangxitujiazumiaozu,430000,433100,0.9543077258499304
Hunan,Yiyang,430000,430900,0.9511451273646478
Hunan,Yongzhou,430000,431100,0.9485943161546373
Hunan,Yueyang,430000,430600,0.9529981227878358
Hunan,Zhangjiajie,430000,430800,0.9129688481130094
Hunan,Zhuzhou,430000,430200,0.9056273188409726
Shanghai,NULL,330000,0,0.5577410250985242
Zhejiang,Hangzhou,330000,330100,0.6342110706515887
Zhejiang,Huzhou,330000,330500,0.8759855400509086
Zhejiang,Jiaxing,330000,330400,0.8049876758193979
Zhejiang,Jinhua,330000,330700,0.8253946661199476
Zhejiang,Lishui,330000,331100,0.9087783857978645
Zhejiang,Ningbo,330000,330200,0.7389081206728746
Zhejiang,Quzhou,330000,330800,0.8947548371071137
Zhejiang,Shaoxing,330000,330600,0.871844472926808
Zhejiang,Taizhou,330000,331000,0.866860343036894
Zhejiang,Wenzhou,330000,330300,0.7436972491858241
Zhejiang,Zhoushan,330000,330900,0.9045567600945678
Guizhou,Anshun,520000,520400,0.9399951019906597
Guizhou,Bijie,520000,520500,0.9712199015319286
Guizhou,Guiyang,520000,520100,0.8009970867611712
Guizhou,Liupanshui,520000,520200,0.9713359200316604
Guizhou,Qiandongnanmiaozudongzu,520000,522600,0.9588337921339257
Guizhou,Qiannanbuyizumiaozu,520000,522700,0.953932163843889
Guizhou,Qianxinanbuyizumiaozu,520000,522300,0.9558619169212841
Guizhou,Tongren,520000,520600,0.9657660718941407
Guizhou,Zunyi,520000,520300,0.9054311358669844
Hubei,Enshitujiazumiaozu,420000,422800,0.9720564932947674
Hubei,Ezhou,420000,420700,0.9019236808676845
Hubei,Huanggang,420000,421100,0.9605066565457749
Hubei,Huangshi,420000,420200,0.9198908174436863
Hubei,Jingmen,420000,420800,0.9447458321434041
Hubei,Jingzhou,420000,421000,0.9663136572511473
Hubei,NULL,420000,0,0.9745521629024625
Hubei,Shiyan,420000,420300,0.904488936005225
Hubei,Suizhou,420000,421300,0.9411505109710443
Hubei,Wuhan,420000,420100,0.47100589438390317
Hubei,Xiangyang,420000,420600,0.926486332397963
Hubei,Xianning,420000,421200,0.9530176519704523
Hubei,Xiaogan,420000,420900,0.966650464273683
Hubei,Yichang,420000,420500,0.8779594127141881
Yunnan,Baoshan,530000,530500,0.9314603110801374
Yunnan,Chuxiongyizu,530000,532300,0.9712651757470047
Yunnan,Dalibaizu,530000,532900,0.9558575120730228
Yunnan,Dehongdaizujingpozu,530000,533100,0.9630329095294073
Yunnan,Diqingzangzu,530000,533400,0.9756374375966302
Yunnan,Honghehanizuyizu,530000,532500,0.9644213578877762
Yunnan,Kunming,530000,530100,0.6783709141803493
Yunnan,Lijiang,530000,530700,0.9426210170338871
Yunnan,Lincang,530000,530900,0.9757832768532686
Yunnan,Nujianglisuzu,530000,533300,0.9845779047546035
Yunnan,Puer,530000,530800,0.9670035000532252
Yunnan,Qujing,530000,530300,0.9665548391040957
Yunnan,Wenshanzhuangzumiaozu,530000,532600,0.9841561062074735
Yunnan,Xishuangbannadaizu,530000,532800,0.9624608883315282
Yunnan,Yuxi,530000,530400,0.9396615770165336
Yunnan,Zhaotong,530000,530600,0.9729859540593335
Shandong,Binzhou,370000,371600,0.9704528891944751
Shandong,Dezhou,370000,371400,0.9577939333146426
Shandong,Dongying,370000,370500,0.8717431448604314
Shandong,Heze,370000,371700,0.9832192617423864
Shandong,Jinan,370000,370100,0.8207658637010619
Shandong,Jining,370000,370800,0.9331461790494942
Shandong,Liaocheng,370000,371500,0.9579546632614142
