name,gb,2SFCA_Accessibility_2015,M2SFCA_Accessibility_2015,Relative_Accessibility_2015,M2SFCA_Gini_2015,2SFCA_Accessibility_2016,M2SFCA_Accessibility_2016,Relative_Accessibility_2016,M2SFCA_Gini_2016,2SFCA_Accessibility_2017,M2SFCA_Accessibility_2017,Relative_Accessibility_2017,M2SFCA_Gini_2017,2SFCA_Accessibility_2018,M2SFCA_Accessibility_2018,Relative_Accessibility_2018,M2SFCA_Gini_2018,2SFCA_Accessibility_2019,M2SFCA_Accessibility_2019,Relative_Accessibility_2019,M2SFCA_Gini_2019,2SFCA_Accessibility_2020,M2SFCA_Accessibility_2020,Relative_Accessibility_2020,M2SFCA_Gini_2020,2SFCA_Accessibility_2021,M2SFCA_Accessibility_2021,Relative_Accessibility_2021,M2SFCA_Gini_2021,2SFCA_Accessibility_2022,M2SFCA_Accessibility_2022,Relative_Accessibility_2022,M2SFCA_Gini_2022,2SFCA_Accessibility_2023,M2SFCA_Accessibility_2023,Relative_Accessibility_2023,M2SFCA_Gini_2023,2SFCA_Accessibility_2024,M2SFCA_Accessibility_2024,Relative_Accessibility_2024,M2SFCA_Gini_2024,2SFCA_Accessibility_2025,M2SFCA_Accessibility_2025,Relative_Accessibility_2025,M2SFCA_Gini_2025
梅州市,156441400.0,0.107221585076505,0.0663620776382685,0.6189246091719095,0.9906639434794048,0.1067139081807296,0.0660427591873668,0.6188767735459323,0.9906597229028272,0.106113409478341,0.0656403792873952,0.6185870344764786,0.9906522792175032,0.1583128544025607,0.0862837421659265,0.5450204438012513,0.9920974574354384,6.262053812406034,4.057247553909306,0.647910042847494,0.906042493965663,7.772284675767942,5.001926291842254,0.6435593265693189,0.8731231044803522,9.81435641031914,6.280804259130861,0.6399608895930267,0.8427527651386186,16.800960549317985,10.948870480071202,0.6516812207213747,0.7694608900660731,16.821450332879333,10.92212350428114,0.6492973725893704,0.7717019096485962,31.66419300730667,20.99644941961809,0.6630975693829637,0.6680920017085136,47.25788105666707,31.42014580092086,0.664865734526795,0.5862665679287115
鄂州市,156420700.0,0.1895170676136331,0.1493550243042757,0.7880821827022174,0.9991550132112268,0.1884886209396313,0.1485876822951685,0.7883111540338438,0.9991557225194856,0.1873013557340972,0.1476376192571351,0.78823572140465,0.9991568367109044,2.233139804592545,1.4860680923038911,0.6654612887414081,0.9910086312994416,0.5559529682922465,0.3256987622889306,0.5858386965526934,0.9972963344362672,5.357165972144935,3.577993021930869,0.6678891489520699,0.9562385056744356,6.27027455331235,4.20271068761022,0.6702594363097045,0.940454969173274,10.324350546145514,6.883867871960052,0.6667603779232458,0.9096498198910754,10.14477509904012,6.7796476676152375,0.6682895974950411,0.9173423989765404,26.037723296945146,17.450185841839453,0.6701886199046743,0.7311043771409476,38.27690996605472,25.59997177867893,0.6688097811809226,0.6826834705471614
吕梁市,156141100.0,0.061540770656305,0.0556070277939285,0.903580296458823,0.9948646686243744,0.0612585125076267,0.0553515925294875,0.9035738914260482,0.9948681002791044,0.1218432698374233,0.10938387705578,0.8977424621132706,0.9948076961337246,0.4847620997984656,0.3419228166201186,0.7053414793818849,0.97471561049976,0.18120767343421,0.132327884486251,0.7302554134623581,0.9922545213015564,4.339610730596229,2.7484387451862786,0.6333376230749306,0.9326119408260338,5.902881936610537,3.776468348809136,0.6397668781730034,0.9036000427556018,6.810227853718751,4.355889360728049,0.6396099299892732,0.8860504433187056,6.879787148341383,4.383824716049807,0.637203538645332,0.887231007607519,12.520875702272315,7.977433674389855,0.6371306499706001,0.8238475244631931,24.854208866014748,16.220105555744905,0.6526100123799965,0.7666784190144904
舟山市,156330900.0,0.4123490225468506,0.2593085717994105,0.628857006129918,0.9841272881675434,0.4101731193090455,0.258053947226214,0.6291342242536935,0.9841320437821536,0.2038087696392238,0.1674186485924616,0.8214496799564666,0.9879889606403794,3.2401060520917597,2.0002360143641718,0.6173365878171957,0.9491489959726616,2.0170562263630982,1.2717706116381493,0.6305082600157587,0.9506383134806862,24.94212001224906,16.086177713691804,0.6449402739539338,0.8487553934697087,30.1340359906603,19.551599458842325,0.6488211358379647,0.8309479797668958,33.55050765767454,21.69104668521372,0.6465191795764672,0.8254238469129724,34.16124096591324,22.230747551694837,0.6507593671400028,0.8257497201539381,36.8041154583237,23.78488434873424,0.6462561062136598,0.6939941088395627,53.154433681984585,34.47742783015417,0.6486275074705473,0.6251055962239873
朝阳市,156211300.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.1421373250055211,0.0802948316954531,0.5649102492419509,0.992967938549099,0.0707958033632154,0.0498841803406355,0.7046205844251311,0.9987166226836846,0.7060421901082246,0.4608824005104796,0.6527689236812235,0.9849940736459945,0.7052126481113348,0.4787773329463213,0.6789120050931571,0.9850848539269936,0.8463554712981062,0.5675452577444563,0.670575517015301,0.9829028641715872,0.8469241265852914,0.5622736213520635,0.6639008190959105,0.98282173363792,3.462770295317946,2.5264838024817946,0.7296134559944344,0.954733314760522,10.189409879717438,6.952035781043942,0.682280511149359,0.8548194029999632
广安市,156511600.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.4941315853733719,0.3099487251016832,0.6272594877080812,0.9913631422818998,0.3077771596553349,0.2017631213763193,0.6555493643591496,0.9888747018426468,2.2098864026164606,1.471315015956096,0.6657876233882831,0.9607160721256318,2.697427172431691,1.7867987927982183,0.6624085391663959,0.936502394360416,2.8194722606256377,1.8505592989687836,0.656349532078087,0.9363758647672163,2.698927850476067,1.7625273267017003,0.6530472188764905,0.9386975204997836,6.453575717146372,4.2122007252087945,0.6526925397369222,0.8679277593767661,13.548449863982844,8.827508900838717,0.651551209877208,0.7701755116169344
濮阳市,156410900.0,0.1052640423075929,0.0573678509109012,0.5449900046899789,0.9943355538977297,0.1046707773424159,0.0570423361045976,0.5449690692368848,0.994339363238478,0.1040085944403342,0.0626739566800595,0.6025844019651009,0.9930957298823178,0.2067761549606116,0.1364119814507307,0.6597084730428203,0.9869033555541328,0.2574724910929355,0.162126779623362,0.6296858314267127,0.9939221333568872,5.955498092136545,3.8425072824404056,0.6452033436991497,0.9020962503615788,9.686714295129232,6.244278342464775,0.6446229497658029,0.8524460777347962,10.964625809264051,6.9898928226636725,0.6374948807425683,0.8472917335738763,10.817600442710976,6.883991821568553,0.6363695773407,0.8444126552233617,20.07677442286355,12.897418675963772,0.6424049204475851,0.7772777260474033,36.25616279468683,23.22066445142961,0.6404611702271066,0.6993805425155071
宣城市,156341800.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.8301304221541419,0.5516582301886691,0.6645440468946396,0.995687758592001,0.4965078959425644,0.3484926110999144,0.7018873495220864,0.992362755763891,6.275017513823325,4.030911839417128,0.6423745958536969,0.9396948059830385,8.332852051049576,5.342373734784455,0.6411218754461804,0.8839847828416464,11.803588270883417,7.663998070195966,0.6492939176048004,0.8628937573131867,12.06701322827032,7.839564859930772,0.6496690367061521,0.8606413825494099,40.1781425299279,26.72628898716626,0.6651947378418099,0.661691965543969,224.551891338508,147.47960006211164,0.6567729141937565,0.6213064088659801
六盘水市,156520200.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.066208764811959,0.0535147316626056,0.8082726179017836,0.9997287184883036,1.9812625073460977,1.362114680622435,0.6874983378386281,0.9430898116148418,3.0342026749941104,2.067603025616181,0.6814320752717002,0.912429845062994,3.627697929343527,2.483932401432272,0.6847131293210424,0.905230334176056,3.300075180281925,2.2393179011435214,0.6785657231458032,0.907273165674635,12.361111073713174,8.42227742317916,0.6813527823635339,0.7243252279383158,21.382416353224464,14.348735364608087,0.6710530338375111,0.6492519088848159
深圳市,156440300.0,1.433541748906915,0.9482047455558872,0.6614420167943483,0.9089398717423456,1.3897298236860585,0.9189579870001496,0.6612493819573835,0.9085440303497756,1.980459945142493,1.3123241133085786,0.662636028831251,0.8704332044327421,8.662823169422186,5.665160961127915,0.653962438148877,0.6778636626919952,7.687060055999743,5.027873480096312,0.6540697540371186,0.6938737759612603,43.70457874442424,28.683707189412026,0.6563089729602175,0.3789630079216856,46.65978391674695,30.55467610744849,0.6548396401056182,0.3669980596801839,48.84946712751948,31.94936989362513,0.654037224402523,0.3636973783411329,48.11151473761997,31.497602952957177,0.6546790955290411,0.3660465221800517,54.67636989861301,35.671951036557424,0.6524198863732964,0.3442720965997048,68.69580249520266,44.90157937306246,0.6536291555251595,0.2983079139062258
