NAME_1,NAME_2,GID_1,GID_2,Gini_Coefficient
Hainan,"Sansha
",460000,460030,0.6887095130170606
Neimenggu,Xilinguole,150000,152500,0.7871052479714243
Sichuan,Abazangzuqiangzu,510000,513200,0.88970438247326
Heilongjiang,Haerbin,230000,230100,0.8123772653509725
Neimenggu,Xingan,150000,152200,0.8895715506152378
Xinjiang,Kezilesukeerkezi,650000,653000,0.863384808922802
Gansu,Jiuquan,620000,620900,0.874632540894875
Xinjiang,Akesu,650000,652900,0.806757935229426
Beijing,NULL,110000,0,0.4846307603227289
Chongqing,NULL,500000,0,0.7100393652295665
Hainan,NULL,460000,0,0.8019482064786922
Henan,NULL,410000,0,0.665801181871525
Hubei,NULL,420000,0,0.8554263594571777
Shanghai,NULL,310000,0,0.43703463316047353
Shanghai,NULL,330000,0,0.41257839838042476
Tianjin,NULL,120000,0,0.5911856817400758
Xinjiang,NULL,650000,0,0.8463272558210162
Xinjiang,Boertalamenggu,650000,652700,0.941518330411204
Neimenggu,Alashan,150000,152900,0.5957861624383534
Xinjiang,Aletai,650000,654300,0.9226762353472843
Neimenggu,Chifeng,150000,150400,0.897157594869094
Neimenggu,Hulunbeier,150000,150700,0.9470437714949677
Heilongjiang,Heihe,230000,231100,0.9109542709678644
Heilongjiang,Mudanjiang,230000,231000,0.8683681373717884
Hebei,Langfang,130000,131000,0.7790929428397166
Heilongjiang,Suihua,230000,231200,0.9644756421552177
Gansu,Dingxi,620000,621100,0.9113611220098473
Xizang,Naqu,540000,540600,0.9613454855065965
Jiangxi,Jian,360000,360800,0.8253641555200654
Hebei,Baoding,130000,130600,0.8447531648149418
Hunan,Yiyang,430000,430900,0.8558755186868789
Zhejiang,Huzhou,330000,330500,0.6050920102429771
Sichuan,Suining,510000,510900,0.8532472488299827
Guizhou,Qianxinanbuyizumiaozu,520000,522300,0.8677713555482252
Hubei,Xiaogan,420000,420900,0.7647750736080462
Gansu,Lanzhou,620000,620100,0.6265396545560238
Yunnan,Kunming,530000,530100,0.503173838574392
Hebei,Hengshui,130000,131100,0.8508609659416979
Shandong,Weifang,370000,370700,0.7434257568297947
Hunan,Chenzhou,430000,431000,0.8454176140842253
Shanxi,Yanan,610000,610600,0.8789103450743719
